url,frequency
https://www.theguardian.com/business/2014/sep/10/thorntons-60-per-cent-profits-rise-despite-closures,2
https://www.theguardian.com/business/economics-blog/2012/mar/29/north-sea-oil-revenue-squandered,2
https://www.theguardian.com/business/2012/mar/12/women-management-ftse-100-firms,2
https://www.theguardian.com/business/2015/oct/21/labor-and-coalition-reach-agreement-on-china-australia-free-trade-deal,2
https://www.theguardian.com/business/2012/mar/22/mcdonalds-ceo-retires,2
https://www.theguardian.com/sustainable-business/2015/oct/29/three-things-we-learned-about-how-business-can-help-achieve-sdgs,2
https://www.theguardian.com/business/2011/dec/09/eurozone-countries-treaty-exclude-britain,2
https://www.theguardian.com/small-business-network/2014/apr/07/entrepreneur-mentor-business-support,2
https://www.theguardian.com/sustainable-business/energy-access-india-business,2
https://www.theguardian.com/business/2012/mar/18/britain-needs-innovation-economy,2
https://www.theguardian.com/business/2014/apr/07/good-energy-profits-rise-renewables,2
https://www.theguardian.com/business/live/2014/sep/08/uk-house-price-growth-slows-business-live,2
https://www.theguardian.com/small-business-network/2012/aug/14/small-business-benefit-social-media,2
https://www.theguardian.com/small-business-network/poll/2012/aug/07/olympics-2012-small-businesses-economy,2
https://www.theguardian.com/business/2008/mar/03/retailindustry,2
https://www.theguardian.com/business/video/2012/aug/10/financial-crisis-credit-crunch,2
https://www.theguardian.com/global-development/poverty-matters/2012/mar/12/unicef-guidelines-children-needs-business-backing,2
https://www.theguardian.com/business/2014/apr/28/royal-bank-scotland-competitive-disadvantage,2
https://www.theguardian.com/business/2011/dec/26/brazil-overtakes-uk-economy,2
https://www.theguardian.com/business/2012/aug/28/protesters-challenge-vedanta-human-rights,2
https://www.theguardian.com/business/2014/sep/22/dairy-crest-to-close-two-factories-jobs-at-risk,2
https://www.theguardian.com/business/2008/mar/27/jpmorgan.greenbusiness,2
https://www.theguardian.com/business/2012/mar/07/spanx-inventor-sara-blakely-forbes-list,2
https://www.theguardian.com/business/2014/sep/15/phone-4u-to-close-q-and-a,2
https://www.theguardian.com/business/gallery/2010/jun/23/battersea-power-station-gallery,2
https://www.theguardian.com/business/nils-pratley-on-finance/2014/sep/04/lvmh-not-win-battle-for-hermes-profit,2
https://www.theguardian.com/business/nils-pratley-on-finance/2014/sep/16/asos-third-profit-warning-six-months,2
https://www.theguardian.com/business/2012/mar/26/game-group-suspends-gift-loyalty-cards,2
https://www.theguardian.com/business/2015/oct/23/ttip-eu-negotiators-appear-to-break-environmental-pledge-in-leaked-draft,2
https://www.theguardian.com/business/2014/sep/07/trade-unions-trade-deal-threat-to-nhs,2
https://www.theguardian.com/business/2011/dec/12/labour-regulations-city-rbs-collapse,2
https://www.theguardian.com/business/2014/apr/13/tesco-full-price-discount-philip-clarke,2
https://www.theguardian.com/business/2012/mar/08/toyota-total-recall-history,2
https://www.theguardian.com/business/2011/dec/08/deutsche-bank-letter-bomb-ceo,2
https://www.theguardian.com/small-business-network/2014/apr/01/smes-banks-alternative-funding,2
https://www.theguardian.com/women-in-leadership/2014/sep/11/i-created-a-business-from-my-blog-you-can-too,2
https://www.theguardian.com/business/hammerson,2
https://www.theguardian.com/business/2012/mar/15/vat-loophole-on-cds-closed,2
https://www.theguardian.com/business/2014/sep/29/aldi-vows-to-fight-on-in-supermarket-price-war-as-uk-profits-leap-65,2
https://www.theguardian.com/business/2011/dec/21/barratts-priceless-stores-close,2
https://www.theguardian.com/business/2014/sep/16/household-debt-prolonged-recession-bank-of-england,2
https://www.theguardian.com/small-business-network/2014/apr/17/business-waste-sustainable-solution-revenue,2
https://www.theguardian.com/business/2008/mar/30/military,2
https://www.theguardian.com/business/2012/aug/07/bluewater-shopping-centre-1500-jobs,2
https://www.theguardian.com/business/2015/oct/24/talktalk-attack-government-urged-to-do-more-on-cybercrime,2
https://www.theguardian.com/sustainable-business/marketing-advertising-respect-childrens-rights,2
